ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|CÓDIGO
SIM|SIM|SIM|8582
SIM|SIM|SIM|5763
SIM|SIM|SIM|4142
SIM|SIM|NÃO|8984
SIM|SIM|NÃO|5294
SIM|SIM|SIM|157
SIM|SIM|SIM|2132
SIM|SIM|SIM|5547
SIM|SIM|NÃO|6817
SIM|SIM|SIM|3274
SIM|SIM|SIM|3840
SIM|SIM|SIM|9268
SIM|SIM|SIM|9466
SIM|SIM|SIM|4069
SIM|SIM|NÃO|5305
SIM|SIM|SIM|4602
SIM|SIM|SIM|4282
SIM|SIM|NÃO|3547
SIM|SIM|SIM|4627
SIM|SIM|SIM|113
SIM|SIM|SIM|9005
SIM|SIM|SIM|24
SIM|SIM|SIM|5647
SIM|SIM|NÃO|9830
SIM|SIM|SIM|215
SIM|SIM|SIM|5436
SIM|SIM|SIM|4680
SIM|SIM|não|7499
SIM|SIM|SIM|2313
SIM|SIM|SIM|9702
SIM|SIM|SIM|2698
SIM|SIM|SIM|2197
SIM|SIM|SIM|2099
SIM|SIM|SIM|4323
SIM|SIM|SIM|2842
SIM|SIM|não|5167
SIM|SIM|não|8230
SIM|SIM|SIM|2694
SIM|SIM|não|9335
SIM|SIM|SIM|2431
SIM|SIM|SIM|7951
SIM|SIM|não|8927
SIM|SIM|não|1574
SIM|SIM|SIM|7993
SIM|SIM|SIM|5574
SIM|SIM|não|4161
SIM|SIM|não|7723
SIM|SIM|SIM|2416
SIM|SIM|SIM|1936
SIM|SIM|SIM|5302
SIM|SIM|não|3276
SIM|SIM|SIM|2306
SIM|SIM|SIM|2508
SIM|SIM|não|7551
SIM|SIM|SIM|2319
SIM|SIM|SIM|5042
SIM|SIM|SIM|2023
SIM|SIM|não|759
SIM|SIM|SIM|9137
SIM|SIM|SIM|2100
SIM|SIM|SIM|1703
SIM|SIM|não|933
SIM|SIM|não|5717
SIM|SIM|SIM|2110
SIM|SIM|não|3404
SIM|SIM|SIM|3800
SIM|SIM|SIM|8279
SIM|SIM|SIM|3933
SIM|SIM|não|2172
SIM|SIM|não|8690
SIM|SIM|não|9195
SIM|SIM|SIM|5444
SIM|SIM|SIM|8011
SIM|SIM|SIM|5349
SIM|SIM|SIM|6413
SIM|SIM|SIM|3990
SIM|SIM|SIM|2322
SIM|SIM|SIM|6215
SIM|SIM|SIM|6328
SIM|SIM|não|7894
SIM|SIM|SIM|1725
SIM|SIM|não|3839
SIM|SIM|SIM|6685
SIM|SIM|SIM|6702
SIM|SIM|SIM|6615
SIM|SIM|não|5659
SIM|SIM|não|384
