ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|BAYER|CÓDIGO
SIM|SIM|SIM|SIM|7989
SIM|SIM|SIM|SIM|3754
SIM|SIM|não|SIM|7718
SIM|SIM|não|SIM|2356
SIM|SIM|SIM|SIM|902
SIM|SIM|SIM|SIM|2370
SIM|SIM|não|SIM|2541
SIM|SIM|SIM|SIM|1564
SIM|SIM|SIM|SIM|1765
SIM|SIM|não|SIM|6793
SIM|SIM|SIM|SIM|2341
SIM|SIM|não|SIM|9147
SIM|SIM|SIM|SIM|3479
SIM|SIM|SIM|SIM|3296
SIM|SIM|não|SIM|6510
SIM|SIM|não|SIM|7884
SIM|SIM|SIM|SIM|6689
SIM|SIM|não|SIM|3291
SIM|SIM|SIM|SIM|1781
SIM|SIM|SIM|SIM|3189
SIM|SIM|SIM|SIM|3329
SIM|SIM|não|SIM|4477
SIM|SIM|não|SIM|2632
SIM|SIM|não|SIM|2915
NÃO|NÃO|não|NÃO|4584
SIM|SIM|SIM|SIM|6464
SIM|SIM|SIM|SIM|2742
SIM|SIM|SIM|SIM|8259
SIM|SIM|SIM|SIM|4812
SIM|SIM|SIM|SIM|1680
SIM|SIM|SIM|SIM|716
SIM|SIM|SIM|SIM|4720
SIM|SIM|não|SIM|3572
SIM|SIM|não|SIM|2290
SIM|SIM|SIM|SIM|5752
SIM|SIM|não|SIM|3448
SIM|SIM|SIM|SIM|4588
SIM|SIM|SIM|SIM|2627
SIM|SIM|não|SIM|7585
SIM|SIM|SIM|SIM|6880
SIM|SIM|SIM|SIM|3336
SIM|SIM|SIM|SIM|7435
SIM|SIM|não|SIM|3290
SIM|SIM|SIM|SIM|4424
SIM|SIM|não|SIM|5959
SIM|SIM|SIM|SIM|6128
SIM|SIM|SIM|SIM|3506
SIM|SIM|não|SIM|6271
SIM|SIM|SIM|SIM|2097
SIM|SIM|não|SIM|1745
SIM|SIM|SIM|SIM|859
SIM|SIM|SIM|SIM|6412
SIM|SIM|SIM|SIM|6466
SIM|SIM|não|SIM|4253
SIM|SIM|não|SIM|3664
SIM|SIM|SIM|SIM|4450
SIM|SIM|não|SIM|1625
SIM|SIM|não|SIM|5844
SIM|SIM|SIM|SIM|9746
SIM|SIM|SIM|SIM|3770
SIM|SIM|SIM|SIM|6158
SIM|NÃO|não|SIM|2340
SIM|SIM|SIM|SIM|5041
SIM|SIM|SIM|SIM|2542
SIM|SIM|SIM|SIM|4414
SIM|SIM|não|SIM|3054
SIM|SIM|não|SIM|9009
SIM|SIM|não|SIM|6814
SIM|SIM|não|SIM|5316
SIM|SIM|SIM|SIM|9457
SIM|SIM|não|SIM|71
SIM|SIM|SIM|SIM|6498
SIM|SIM|não|SIM|9202
SIM|SIM|SIM|SIM|2410
SIM|SIM|não|SIM|4122
SIM|SIM|SIM|SIM|3485
SIM|SIM|SIM|SIM|4147
SIM|SIM|SIM|SIM|6690
SIM|SIM|SIM|SIM|3423
SIM|SIM|SIM|SIM|5786
SIM|SIM|SIM|SIM|891
SIM|SIM|SIM|SIM|6550
SIM|SIM|SIM|SIM|2221
SIM|SIM|não|SIM|1502
SIM|SIM|não|SIM|2333
SIM|SIM|SIM|SIM|4815
SIM|SIM|SIM|SIM|4413
SIM|SIM|não|SIM|8652
SIM|SIM|SIM|SIM|6184
SIM|SIM|não|SIM|2601
