status_allin|id_erp|grupo_restricao
0|7352|[abase-restric-o-de-vacinas]
1|1097|[abase-restric-o-de-vacinas]
1|2956|
1|2962|
0|9969|[abase-restric-o-de-vacinas]
1|2983|
1|2984|
0|2985|[abase-restric-o-de-vacinas]
1|2987|[abase-restric-o-de-vacinas]
0|2989|[abase-restric-o-de-vacinas]
1|1472|
1|2994|[abase-restric-o-de-vacinas]
1|2997|
1|2999|
1|3003|[abase-restric-o-de-vacinas]
0|3026|[abase-restric-o-de-vacinas]
1|3037|
1|3038|
1|3041|
1|3045|
1|3049|[abase-restric-o-de-vacinas]
1|3053|
1|3054|[abase-restric-o-de-vacinas]
1|3055|
1|3056|
1|3058|[abase-restric-o-de-vacinas]
1|3059|[abase-restric-o-de-vacinas]
1|3075|
0|3079|[abase-restric-o-de-vacinas]
1|3084|[abase-restric-o-de-vacinas]
1|3089|[abase-restric-o-de-vacinas]
1|3095|
0|3097|[abase-restric-o-de-vacinas]
1|3100|[abase-restric-o-de-vacinas]
0|3113|[abase-restric-o-de-vacinas]
1|3119|
1|3120|[abase-restric-o-de-vacinas]
0|10005|[abase-restric-o-de-vacinas]
1|3122|
1|3126|
1|3131|[abase-restric-o-de-vacinas]
0|9490|[abase-restric-o-de-vacinas]
0|9951|[abase-restric-o-de-vacinas]
1|3138|
0|4764|[abase-restric-o-de-vacinas]
0|3148|[abase-restric-o-de-vacinas]
0|3150|[abase-restric-o-de-vacinas]
0|3154|[abase-restric-o-de-vacinas]
1|3165|
1|3174|[abase-restric-o-de-vacinas]
1|3178|[abase-restric-o-de-vacinas]
1|3191|
1|3192|
0|3195|[abase-restric-o-de-vacinas]
1|3196|
1|3118|[abase-restric-o-de-vacinas]
0|3198|[abase-restric-o-de-vacinas]
1|4165|[abase-restric-o-de-vacinas]
0|3206|[abase-restric-o-de-vacinas]
1|3211|
0|9918|[abase-restric-o-de-vacinas]
0|3217|[abase-restric-o-de-vacinas]
1|835|[abase-restric-o-de-vacinas]
0|5678|[abase-restric-o-de-vacinas]
1|3224|
1|9058|[abase-restric-o-de-vacinas]
1|3234|
1|3236|
1|3239|
1|3244|
1|3245|[abase-restric-o-de-vacinas]
1|3247|[abase-restric-o-de-vacinas]
0|3250|[abase-restric-o-de-vacinas]
0|1995|[abase-restric-o-de-vacinas]
1|3260|
1|3269|
1|3273|[abase-restric-o-de-vacinas]
1|3276|[abase-restric-o-de-vacinas]
0|3278|[abase-restric-o-de-vacinas]
0|3279|[abase-restric-o-de-vacinas]
0|3281|[abase-restric-o-de-vacinas]
1|3290|[abase-restric-o-de-vacinas]
1|3296|
0|3310|[abase-restric-o-de-vacinas]
1|3318|[abase-restric-o-de-vacinas]
1|3320|[abase-restric-o-de-vacinas]
1|3324|[abase-restric-o-de-vacinas]
1|3329|
1|3330|
1|3332|[abase-restric-o-de-vacinas]
1|3335|[abase-restric-o-de-vacinas]
1|3336|
1|3337|
0|3340|[abase-restric-o-de-vacinas]
1|9840|[abase-restric-o-de-vacinas]
0|3354|[abase-restric-o-de-vacinas]
1|3356|[abase-restric-o-de-vacinas]
1|1761|[abase-restric-o-de-vacinas]
1|3370|[abase-restric-o-de-vacinas]
1|3371|[abase-restric-o-de-vacinas]
1|3384|[abase-restric-o-de-vacinas]
1|3442|
0|9805|[abase-restric-o-de-vacinas]
1|10021|[abase-restric-o-de-vacinas]
1|3399|[abase-restric-o-de-vacinas]
0|9687|[abase-restric-o-de-vacinas]
1|3401|[abase-restric-o-de-vacinas]
0|3406|[abase-restric-o-de-vacinas]
1|3423|
1|3427|
1|3433|
1|3437|
1|3445|[abase-restric-o-de-vacinas]
1|3448|[abase-restric-o-de-vacinas]
1|3451|
1|3457|[abase-restric-o-de-vacinas]
1|3462|[abase-restric-o-de-vacinas]
1|3469|[abase-restric-o-de-vacinas]
1|3470|[abase-restric-o-de-vacinas]
1|3476|[abase-restric-o-de-vacinas]
1|3485|
1|3495|
1|3499|
1|3506|
1|3508|
1|3522|[abase-restric-o-de-vacinas]
1|3523|[abase-restric-o-de-vacinas]
1|3524|[abase-restric-o-de-vacinas]
